panel,signal,vehicle,estimator,gate,start,days,Sharpe,Martin,MaxDD,CAGR,RealVol,|vol-target|,TrackRMSE63,Turnover/yr,MeanW
P2 3x,QQQ,TQQQ,E0 EWMA c2c,none,2010-05-11,4105,0.8927740281217723,1.9037301937728188,-0.424923604832672,0.27039190906548094,0.3033583986720509,0.0033583986720508996,0.047078207914670864,2.86751423708448,0.6014619163640736
P2 3x,QQQ,TQQQ,E0 EWMA c2c,trend,2010-05-11,4105,0.8766894769785432,1.8227495086967538,-0.2941315704117171,0.22921559233880195,0.2561515630855845,0.04384843691441548,0.14192587619816605,3.209133140684382,0.45393301657197493
P2 3x,QQQ,TQQQ,E1 Yang-Zhang 21,none,2010-05-11,4105,0.947688280287865,2.0213116265712956,-0.4723849075398908,0.3001178046432056,0.31354952157391236,0.013549521573912371,0.04844613304217645,2.8926958403865233,0.6242681325433617
P2 3x,QQQ,TQQQ,E1 Yang-Zhang 21,trend,2010-05-11,4105,0.9605831254591918,2.1309082527321768,-0.3102602495934498,0.2619420112617401,0.26299896090726793,0.03700103909273206,0.14150821130318375,3.1041727402807044,0.4678022336424153
P2 3x,QQQ,TQQQ,E2 Parkinson EWMA,none,2010-05-11,4105,0.9014234457566589,1.8080516248119913,-0.5176330612275865,0.3209919713706808,0.36822824358853506,0.06822824358853508,0.09216086979379663,2.2196403937727367,0.7223270728046267
P2 3x,QQQ,TQQQ,E2 Parkinson EWMA,trend,2010-05-11,4105,0.886767960796568,1.808895163156806,-0.3613811654323952,0.2705100874359503,0.30670519041874567,0.006705190418745677,0.15050075969372742,2.8416193807382455,0.5394409510626084
P2 3x,QQQ,TQQQ,E3 K-ATR fast,none,2010-05-11,4105,0.9477024238874938,1.8953576215035042,-0.5479384838857205,0.338498253914443,0.36140135504804655,0.06140135504804656,0.07347293803268289,8.911802577761966,0.7448294430604144
P2 3x,QQQ,TQQQ,E3 K-ATR fast,trend,2010-05-11,4105,0.9501492097928806,2.1569640132370522,-0.3414482897721338,0.290062700443136,0.30021984463889484,0.0002198446388948505,0.14481097150475222,7.4701991387850235,0.5529691358946599
P2 3x,QQQ,TQQQ,E4 Yang-Zhang EWMA,none,2010-05-11,4105,0.8905578247474435,1.7613839363955384,-0.46502753692712473,0.2677278858752259,0.3008832177787026,0.0008832177787025941,0.05199089664065399,2.3030238401080863,0.5934151948343693
P2 3x,QQQ,TQQQ,E4 Yang-Zhang EWMA,trend,2010-05-11,4105,0.9026046557529352,1.938779720615826,-0.2992822840398016,0.23486882616718519,0.25292445020546184,0.04707554979453815,0.1439032897108037,2.6564075542271666,0.4473527170099323
P2 3x,XLK,TECL,E0 EWMA c2c,none,2009-03-18,4394,0.9058976051777481,2.039238329546916,-0.36819868641846465,0.27317977853661946,0.30200251380126325,0.0020025138012632615,0.044864133981520914,2.9562692109842303,0.5715270932463725
P2 3x,XLK,TECL,E0 EWMA c2c,trend,2009-03-18,4394,0.7746513099916504,1.5863754806110775,-0.3233111941204031,0.19696326979467105,0.2571549959423097,0.04284500405769026,0.1330812639404378,3.126328570208358,0.43406576820702647
P2 3x,XLK,TECL,E1 Yang-Zhang 21,none,2009-03-18,4394,0.9462515348851184,2.0495444031144596,-0.4280361464483827,0.29877315354727196,0.3141928569116976,0.014192856911697638,0.04884418736407426,2.936593841516327,0.5976006626510324
P2 3x,XLK,TECL,E1 Yang-Zhang 21,trend,2009-03-18,4394,0.8454847038361147,1.8534076004702797,-0.2961688047895431,0.22522510602758317,0.26598198941285534,0.034018010587144654,0.13129130425466787,3.10048370498518,0.45299541766351875
P2 3x,XLK,TECL,E2 Parkinson EWMA,none,2009-03-18,4394,0.8918263630462524,1.814454028374748,-0.4764264772092133,0.3186511844526654,0.3735410153770052,0.07354101537700519,0.09626036780164332,2.3369235944184297,0.696755894823966
P2 3x,XLK,TECL,E2 Parkinson EWMA,trend,2009-03-18,4394,0.7471761675877259,1.3965123945518556,-0.39511324056289376,0.21958455178371672,0.31345716790993455,0.013457167909934564,0.14220986813469105,2.8787872187659396,0.5226001151898169
P2 3x,XLK,TECL,E3 K-ATR fast,none,2009-03-18,4394,0.9566480032651857,1.9365936346376003,-0.5136347659553078,0.3452072347765094,0.36600570257031007,0.06600570257031008,0.07795774462909995,9.147910270959903,0.7154308096780366
P2 3x,XLK,TECL,E3 K-ATR fast,trend,2009-03-18,4394,0.827403306974623,1.6861558305490025,-0.3821911170489313,0.24678212639677266,0.3072405287484938,0.007240528748493791,0.13207564675751823,7.826440047936798,0.5391955237901483
P2 3x,XLK,TECL,E4 Yang-Zhang EWMA,none,2009-03-18,4394,0.9006608743889545,1.899954526785356,-0.4055670642611259,0.2727072686202079,0.30404174130134115,0.004041741301341162,0.05187517038002965,2.4296191020058027,0.5732857078433345
P2 3x,XLK,TECL,E4 Yang-Zhang EWMA,trend,2009-03-18,4394,0.7678157324660982,1.536597321834124,-0.2965695560024496,0.19443416673182878,0.25645258066810966,0.043547419331890325,0.13464650897080935,2.6823511224037166,0.43332606876643165
P2 3x,IWM,TNA,E0 EWMA c2c,none,2009-02-04,4423,0.41725114094213694,0.42556652947374796,-0.5108752969456999,0.09855495020728244,0.30131380962042337,0.0013138096204233785,0.03649975413931136,2.898499081467274,0.538141098739556
P2 3x,IWM,TNA,E0 EWMA c2c,trend,2009-02-04,4423,0.4106305118352592,0.5052959621677356,-0.4191388772762977,0.08323828897962615,0.22031760090643848,0.0796823990935615,0.18699146588545967,2.2956545027435276,0.3109208253743899
