vehicle,arm,episode,Sharpe,CAGR,Martin,MaxDD,MeanW,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 EDC,H_parity,FULL,0.23162318083031466,0.03336053007953432,0.22569513467110838,-0.2743588760167114,0.147607753564831,1.5700590231978602,,,,,,,,,P2
P2 EDC,H_parity,E_bear_2018q4,,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,H_parity,X_2020_covid,1.5357635010250505,,,-0.07721720569718094,,,modern_folds,0.15837683595220486,2020-02-12,2020-06-11,2020-03-02,-0.06049632973641739,84.0,0.22704431776009834,P2
P2 EDC,H_parity,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,H_parity,E2011_eu_us,-2.0842022730100975,,,-0.16133608910429387,,,market_factor_A0_calendar,-0.15761527234404726,2011-05-02,2011-09-22,2011-08-09,-0.13327835356435846,101.0,0.254603424176958,P2
P2 EDC,H_parity,E2015_16_china,0.30683564737763924,,,-0.022055807335220723,,,market_factor_A0_calendar,0.00678894055846424,2015-06-01,2016-03-15,,-0.022055807335220723,200.0,0.0,P2
P2 EDC,H_parity,K2013_14_bull,-1.0027332338161739,,,-0.1300452627400166,,,calm_controls,-0.10545033670336601,2013-01-02,2013-06-12,2013-03-18,-0.07008364274149181,112.0,0.43185465759260677,P2
P2 EDC,H_parity,A_bull_2021,-0.47174298850551466,,,-0.1485867832601261,,,calm_controls,-0.06669971906748329,2021-02-17,2021-11-29,2021-11-29,-0.1485867832601261,199.0,0.2283151442196168,P2
P2 EDC,H_parity,D_recent_2025plus,1.141964619254457,,,-0.10618405363446759,,,calm_controls,0.40619254011954764,2025-02-20,2025-04-08,2025-04-07,-0.10137670508936336,34.0,0.3285009897320738,P2
P2 EDC,H_full,FULL,0.2108693175150763,0.036609557686008154,0.13736017337498427,-0.45354176638378974,0.2688871466818282,3.521247489306492,,,,,,,,,P2
P2 EDC,H_full,E_bear_2018q4,,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,H_full,X_2020_covid,1.5101049436820235,,,-0.12980027535683503,,,modern_folds,0.27668904863160915,2020-02-12,2020-06-11,2020-03-02,-0.10359303926799379,84.0,0.40444608964182827,P2
P2 EDC,H_full,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,H_full,E2011_eu_us,-2.1287560165959705,,,-0.26116430141773717,,,market_factor_A0_calendar,-0.2592763633187245,2011-05-02,2011-09-22,2011-08-05,-0.18929182173675774,101.0,0.49786390558218274,P2
P2 EDC,H_full,E2015_16_china,0.3316506883532054,,,-0.040295082909096336,,,market_factor_A0_calendar,0.013483802915511545,2015-06-01,2016-03-15,,-0.040295082909096336,200.0,0.0,P2
P2 EDC,H_full,K2013_14_bull,-0.984111783536727,,,-0.22503512635165746,,,calm_controls,-0.18278712711022804,2013-01-02,2013-06-12,2013-03-18,-0.13517038040657536,112.0,0.8637093151852135,P2
P2 EDC,H_full,A_bull_2021,-0.4369063341282884,,,-0.2590213951501321,,,calm_controls,-0.11610030450805942,2021-02-17,2021-11-29,2021-11-29,-0.2590213951501321,199.0,0.4566302884392336,P2
P2 EDC,H_full,D_recent_2025plus,1.0410835094247688,,,-0.18376964199884516,,,calm_controls,0.625633392351481,2026-02-25,2026-03-30,2026-03-04,-0.13422346323892864,24.0,0.6381067210925164,P2
P2 EDC,buy_hold,FULL,0.32615288497229655,0.010939680717850342,0.01568242145029181,-0.9253989466236936,1.0,0.0,,,,,,,,,P2
P2 EDC,buy_hold,E_bear_2018q4,-0.0640530803088728,,,-0.3364287609445479,,,modern_folds,-0.09914417379855278,2018-09-21,2018-10-29,,-0.3364287609445479,27.0,1.0,P2
P2 EDC,buy_hold,X_2020_covid,0.8218414915763659,,,-0.7453335073750164,,,modern_folds,0.3065875741492321,2020-02-12,2020-03-23,,-0.7453335073750164,28.0,1.0,P2
P2 EDC,buy_hold,B_bear_2022,-0.9846437018978847,,,-0.7444803446418957,,,modern_folds,-0.6023841859061418,2022-01-12,2022-10-24,,-0.7444803446418957,197.0,1.0,P2
P2 EDC,buy_hold,E2011_eu_us,-0.9209058282630997,,,-0.7199744633309392,,,market_factor_A0_calendar,-0.6619163845366505,2011-05-02,2011-10-03,,-0.7199744633309392,108.0,1.0,P2
P2 EDC,buy_hold,E2015_16_china,-0.6886104360706382,,,-0.6946556093066112,,,market_factor_A0_calendar,-0.47824581650317377,2015-06-02,2016-01-20,,-0.6946556093066112,161.0,1.0,P2
P2 EDC,buy_hold,K2013_14_bull,-0.19082090823724582,,,-0.4937790436216457,,,calm_controls,-0.37026447462473167,2013-01-02,2014-12-16,,-0.4937790436216457,494.0,1.0,P2
P2 EDC,buy_hold,A_bull_2021,-0.16880120897565618,,,-0.47720207253886016,,,calm_controls,-0.20824372759856602,2021-02-17,2021-12-20,,-0.47720207253886016,214.0,1.0,P2
P2 EDC,buy_hold,D_recent_2025plus,1.2227496146388086,,,-0.4015981059485053,,,calm_controls,1.899819819819827,2025-03-17,2025-04-08,,-0.4015981059485053,17.0,1.0,P2
P2 TMF,incumbent,FULL,0.12044223259903723,0.01901521557719965,0.06864044591478008,-0.5688658211613138,0.2960793017852229,1.9825028420087452,,,,,,,,,P2
P2 TMF,incumbent,E_bear_2018q4,,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 TMF,incumbent,X_2020_covid,0.49073520364880857,,,-0.24216805917614426,,,modern_folds,0.1055963949570673,2020-03-09,2020-12-04,2020-03-20,-0.1576097291225046,190.0,0.4035548162545647,P2
P2 TMF,incumbent,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 TMF,incumbent,E2011_eu_us,2.0427728656157442,,,-0.11962689430352047,,,market_factor_A0_calendar,0.505864526005235,2011-10-03,2011-10-27,,-0.11962689430352047,19.0,0.3199387438951615,P2
P2 TMF,incumbent,E2015_16_china,0.04227686157046822,,,-0.08243285300357195,,,market_factor_A0_calendar,-0.0004927738263292847,2015-08-24,2015-09-02,,-0.08243285300357195,8.0,0.6859656228573374,P2
P2 TMF,incumbent,K2013_14_bull,1.0154190259196,,,-0.13415425258803748,,,calm_controls,0.32137281144671515,2014-08-29,2014-09-17,,-0.13415425258803748,13.0,1.0,P2
P2 TMF,incumbent,A_bull_2021,-1.8825731498890166,,,-0.15781032708521392,,,calm_controls,-0.16068343808395913,2021-01-04,2021-02-08,2021-02-08,-0.15781032708521392,25.0,0.9237622325216953,P2
P2 TMF,incumbent,D_recent_2025plus,-0.5385809855492532,,,-0.3076235466934585,,,calm_controls,-0.15810872865904313,2025-10-22,2026-08-17,,-0.3076235466934585,205.0,1.0,P2
P2 TMF,H_parity,FULL,0.12342826870290033,0.021214625855507707,0.17274211466623948,-0.23256709192109093,0.13464135439116864,1.2410542432630611,,,,,,,,,P2
P2 TMF,H_parity,E_bear_2018q4,,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 TMF,H_parity,X_2020_covid,0.4848817317273251,,,-0.11943546571406483,,,modern_folds,0.060574578563534764,2020-03-09,2020-12-04,2020-03-19,-0.077545664691271,190.0,0.2017774081272824,P2
P2 TMF,H_parity,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 TMF,H_parity,E2011_eu_us,1.9510664843919399,,,-0.05918358755616149,,,market_factor_A0_calendar,0.21241002708161338,2011-10-03,2011-10-27,,-0.05918358755616149,19.0,0.15749969948094025,P2
